Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.1,30.0000008,105,-2.45590484e-12,-0.00512902392
0.1,30.0000008,120.000003,-7.11456241e-12,-0.00512920786
0.1,30.0000008,135,-9.11944652e-12,-0.00512945
0.1,30.0000008,149.999997,-6.64640218e-12,-0.00512968376
0.1,30.0000008,164.999994,-2.1856115e-12,-0.00512985
0.1,30.0000008,180.000005,-2.66376831e-25,-0.00512990961
0.1,30.0000008,195.000002,-2.18561085e-12,-0.00512985
0.1,30.0000008,209.999999,-6.64640044e-12,-0.00512968376
0.1,30.0000008,224.999996,-9.11944652e-12,-0.00512945
0.1,30.0000008,240.000007,-7.11455938e-12,-0.00512920786
0.1,30.0000008,255.000004,-2.45590397e-12,-0.00512902392
0.1,30.0000008,270.000001,-5.66664403e-27,-0.00512895593
0.1,30.0000008,284.999998,-2.4559044e-12,-0.00512902392
0.1,30.0000008,299.999995,-7.11455938e-12,-0.00512920786
0.1,30.0000008,314.999992,-9.11944652e-12,-0.00512945
0.1,30.0000008,329.999989,-6.64640478e-12,-0.00512968376
0.1,30.0000008,345.000013,-2.18560716e-12,-0.00512985
0.1,30.0000008,360.00001,-1.90855147e-36,-0.00512990961
0.1,45.0000013,0,-4.78726828e-37,-0.0103521245
0.1,45.0000013,15.0000004,-3.74045456e-12,-0.0103520053
0.1,45.0000013,30.0000008,-1.1200217e-11,-0.01035167
0.1,45.0000013,45.0000013,-1.5431021e-11,-0.0103511978
0.1,45.0000013,60.0000017,-1.24105032e-11,-0.0103507033
0.1,45.0000013,74.9999987,-4.43924454e-12,-0.0103503279
0.1,45.0000013,90.0000025,-1.39731425e-25,-0.0103501882
0.1,45.0000013,105,-4.43924368e-12,-0.0103503279
0.1,45.0000013,120.000003,-1.24105049e-11,-0.0103507033
0.1,45.0000013,135,-1.5431021e-11,-0.0103511978
0.1,45.0000013,149.999997,-1.12002187e-11,-0.01035167
0.1,45.0000013,164.999994,-3.74045673e-12,-0.0103520053
0.1,45.0000013,180.000005,-4.60250492e-25,-0.0103521245
0.1,45.0000013,195.000002,-3.74045586e-12,-0.0103520053
0.1,45.0000013,209.999999,-1.1200217e-11,-0.01035167
0.1,45.0000013,224.999996,-1.54310193e-11,-0.0103511978
0.1,45.0000013,240.000007,-1.24105006e-11,-0.0103507033
0.1,45.0000013,255.000004,-4.43924194e-12,-0.0103503279
0.1,45.0000013,270.000001,-1.03986435e-26,-0.0103501882
0.1,45.0000013,284.999998,-4.43924238e-12,-0.0103503279
0.1,45.0000013,299.999995,-1.24105006e-11,-0.0103507033
0.1,45.0000013,314.999992,-1.5431021e-11,-0.0103511978
0.1,45.0000013,329.999989,-1.12002204e-11,-0.01035167
0.1,45.0000013,345.000013,-3.74044806e-12,-0.0103520053
0.1,45.0000013,360.00001,-4.78726828e-37,-0.0103521245
0.1,60.0000017,0,-2.05090007e-37,-0.0156675689
0.1,60.0000017,15.0000004,-4.65744804e-12,-0.0156673864
0.1,60.0000017,30.0000008,-1.36706202e-11,-0.0156668741
0.1,60.0000017,45.0000013,-1.86686257e-11,-0.0156661663
0.1,60.0000017,60.0000017,-1.51905103e-11,-0.0156654399
0.1,60.0000017,74.9999987,-5.53505072e-12,-0.0156648997
0.1,60.0000017,90.0000025,-1.75659787e-25,-0.0156647004
0.1,60.0000017,105,-5.53504942e-12,-0.0156648997
0.1,60.0000017,120.000003,-1.51905103e-11,-0.0156654399
0.1,60.0000017,135,-1.86686257e-11,-0.0156661663
0.1,60.0000017,149.999997,-1.36706202e-11,-0.0156668741
0.1,60.0000017,164.999994,-4.65745107e-12,-0.0156673864
0.1,60.0000017,180.000005,-5.78710579e-25,-0.0156675689
0.1,60.0000017,195.000002,-4.65744847e-12,-0.0156673864
0.1,60.0000017,209.999999,-1.36706159e-11,-0.0156668741
0.1,60.0000017,224.999996,-1.86686257e-11,-0.0156661663
